,name,r_h_mean,r_h_min,r_h_max,r_h_std,r_h_mad
25,"Амг6 1 + М1 0,8 (II)",0.4218993873515099,0.2983050847457627,0.5286296776960876,0.04454761237263027,0.036737927968526686
26,"Амг6 1 + М1 0,8 (III)",0.480140886323857,0.36226415094339626,0.6274063216305285,0.04899134200284918,0.03953244529561602
27,"Амг6 1 + М1 0,8 (IV)",0.42873534792898876,0.31596638655462184,0.546342135253556,0.04163149983162727,0.03288549626663257
28,"БрБНТ1,9 0,2 + БрБНТ1,9 0,2 (I)",0.14752248629487758,0.09274193548387097,0.3150431626643117,0.027286105179749647,0.02099197316017179
29,"БрБНТ1,9 0,2 + БрБНТ1,9 0,2 (II)",0.22600703011674014,0.10434782608695652,0.36636966389563846,0.05359236982943795,0.04396574486623925
30,"БрБНТ1,9 0,2 + БрБНТ1,9 0,2 (III)",0.219364470633759,0.1411764705882353,0.29367323212398777,0.03119890118021964,0.02560833853312384
31,"БрБНТ1,9 0,2 + БрБНТ1,9 0,2 (IV)",0.23223079280673412,0.1739130434782609,0.2943455372530912,0.02556505408427585,0.020858648586650496
32,"БрБНТ1,9 0,2 + БрБНТ1,9 0,5 (I)",0.2824592728666152,0.17864077669902914,0.43124481819295496,0.05452555181124451,0.04221933461531381
33,"БрБНТ1,9 0,2 + БрБНТ1,9 0,5 (II)",0.32295836086117646,0.22372881355932203,0.4277434727183593,0.0427329335064977,0.03442705130167319
34,"БрБНТ1,9 0,2 + БрБНТ1,9 0,5 (III)",0.31509307082912036,0.19607843137254904,0.46613733874591823,0.054286654408108884,0.042719778181531075
35,"БрБНТ1,9 0,2 + БрБНТ1,9 0,5 (IV)",0.3627180470799833,0.24827586206896549,0.49509201796096997,0.04901035222013331,0.04037090424227459
36,"БрБНТ1,9 0,5 + БрБНТ1,9 0,5 (I)",0.23761301866045198,0.16237623762376238,0.33120116074364786,0.03388230117750171,0.027648942248047877
37,"БрБНТ1,9 0,5 + БрБНТ1,9 0,5 (II)",0.26462175433135215,0.17739130434782607,0.33434113615314787,0.027863899147579557,0.022086733220042003
38,"БрБНТ1,9 0,5 + БрБНТ1,9 0,5 (III)",0.2771787015092259,0.18823529411764706,0.42397691309116714,0.04385665190698119,0.033887172773930996
39,"БрБНТ1,9 0,5 + БрБНТ1,9 0,5 (IV)",0.34252672442191356,0.23793103448275865,0.4347605296668112,0.03882558599785737,0.031708428369536794
40,"БрБНТ1,9 0,5 + Л63 0,2 (I)",0.2171229948630263,0.1176470588235294,0.32764630609451395,0.04021805214327184,0.03236213842429676
41,"БрБНТ1,9 0,5 + Л63 0,2 (II)",0.23279355498403717,0.14482758620689656,0.3197420466211918,0.036518651357985626,0.029706724165686073
42,"БрБНТ1,9 0,5 + Л63 0,2 (III)",0.24682432945693877,0.15841584158415842,0.42900015779820916,0.046692656701932164,0.034607843678906174
43,"БрБНТ1,9 0,5 + Л63 0,2 (IV)",0.28242979437888066,0.18245614035087718,0.4548383192358181,0.057261243419150135,0.04660753027551065
44,"Л63 0,2 + Л63 0,2 (I)",0.1546040874530814,0.0635593220338983,0.22690010023433863,0.03397445726556235,0.02777080433638923
45,"Л63 0,2 + Л63 0,2 (II)",0.13284191672152248,0.045614035087719294,0.21112082664437204,0.02975872108778159,0.023741614017581188
46,"Л63 0,2 + Л63 0,2 (III)",0.11128060248949931,0.056910569105691054,0.1690248895086946,0.02510813986508082,0.020783840153191985
47,"Л63 0,2 + Л63 0,2 (IV)",0.13172175403473943,0.06428571428571428,0.1831927443452238,0.022989150249871283,0.01858811738967893
48,"Л63 0,2 + Л63 0,4 (I)",0.13669489909321514,0.07317073170731707,0.22504876037133012,0.03220965838929613,0.026832450500478257
49,"Л63 0,2 + Л63 0,4 (II)",0.15675649925970703,0.08849557522123894,0.27120248388562385,0.028927761638918338,0.022602677885752133
50,"Л63 0,2 + Л63 0,4 (III)",0.16259504060000854,0.09836065573770493,0.2762520787910782,0.03400354244761593,0.027192626985243936
51,"Л63 0,2 + Л63 0,4 (IV)",0.1922986628771657,0.12363636363636364,0.269627529289957,0.03014166855244192,0.023814134971587995
52,"Л63 0,4 + Л63 0,4 (I)",0.12379633026844418,0.04700854700854701,0.2123726594603461,0.02998955352807458,0.023229668095609647
53,"Л63 0,4 + Л63 0,4 (II)",0.1311172918970888,0.06538461538461539,0.21475101921610273,0.03047936695046818,0.02465302034220202
54,"Л63 0,4 + Л63 0,4 (III)",0.11080616810493407,0.04871435753788695,0.1676288842602376,0.025327660409148894,0.02066009027916454
55,"Л63 0,4 + Л63 0,4 (IV)",0.13703909573269307,0.050909090909090904,0.22542944762463174,0.028375701820274657,0.021706938303893485
56,"М1 0,8 + Л63 0,4 (I)",0.18971055755274044,0.07920792079207921,0.3520767766523609,0.05013521333098427,0.0396350141485379
57,"М1 0,8 + Л63 0,4 (II)",0.2055402785002961,0.1103448275862069,0.33489840159443207,0.038484067671344706,0.03043376724510895
58,"М1 0,8 + Л63 0,4 (III)",0.1829984023817569,0.10196078431372549,0.27786879687840543,0.03154529575583475,0.025015828667370156
59,"М1 0,8 + Л63 0,4 (IV)",0.2090929006613557,0.12991452991452992,0.3086418899976035,0.035890083608673226,0.028755474848969405
60,"М1 0,8 + М1 0,8 (I)",0.1899477886798416,0.12307692307692307,0.2976297536106001,0.040560114969676694,0.0316580712664423
